Cédula,Edad,Genero,No de hijos,Nivel Educativo,Estrato Socio,Ingresos,Peso,Talla,Fuma,Lentes,Casa propia,Automovil
1836285123,29,0,0,4,3,5533000,61,175,0,1,1,1
1305594999,38,0,3,3,3,5485000,76,175,1,1,0,1
1466148599,53,1,1,3,2,5335000,61,170,0,1,1,0
1579060687,43,1,0,1,2,2976000,76,164,1,0,0,1
1214562446,40,0,3,1,4,4485000,59,181,1,0,1,1
1026554047,43,1,3,4,4,3286000,88,162,1,0,1,1
1330358778,21,0,1,4,4,5329000,64,166,0,1,0,0
1220113474,41,1,2,2,2,4461000,84,167,1,1,0,0
1598314915,45,1,1,4,4,3339000,58,165,0,0,1,1
1902501422,42,1,3,4,2,1831000,84,179,0,1,1,0
1690409148,23,1,1,4,4,3004000,62,166,1,0,1,1
1367220968,48,0,3,3,4,4844000,98,168,1,1,0,1
1850374094,44,1,0,1,3,3227000,66,180,0,1,0,1
1382089389,33,0,3,4,2,2892000,71,180,1,1,0,1
1746126326,22,0,2,4,4,5380000,66,164,0,1,0,0
1043115565,43,1,3,4,2,3907000,72,174,1,0,1,1
1545317338,26,0,0,3,4,3026000,96,180,0,1,1,0
1689503900,47,0,0,2,2,4855000,96,168,1,0,0,1
1725446064,33,1,0,4,3,4809000,59,181,0,0,1,0
1257842184,35,0,3,2,4,5037000,75,167,1,1,1,0
1205588650,36,0,2,4,2,1706000,88,180,0,0,0,1
1364822495,53,1,2,1,3,3267000,66,161,1,1,1,1
1718724815,21,1,2,3,3,4474000,90,178,1,0,1,1
1813722586,32,1,1,1,3,4893000,78,161,0,0,1,0
1017905773,56,1,2,2,3,3705000,81,169,1,1,0,1
1490975423,21,0,3,3,4,3816000,86,171,1,1,1,0
1762317465,31,0,3,3,2,4369000,67,164,1,0,0,0
1119099868,39,0,2,4,2,3407000,68,172,1,0,1,1
1423529413,49,0,0,3,4,3776000,90,176,1,0,0,1
1699442407,41,0,2,3,3,4245000,68,165,1,1,1,1
1904504766,35,1,0,2,3,5047000,92,161,0,0,1,1
1969032047,49,1,2,4,2,2905000,78,174,0,1,0,0
1417207541,57,1,1,1,3,1665000,96,162,0,1,1,1
1400093117,25,1,3,4,2,4028000,75,163,1,0,0,0
1053271303,47,1,1,4,3,2692000,80,164,1,0,1,0
1012170500,45,0,3,1,3,2211000,81,162,0,0,0,0
1418146404,26,0,3,3,3,5603000,81,168,1,0,1,0
1948084803,26,0,0,1,3,2358000,92,179,0,0,1,0
1938402813,39,0,1,2,2,2413000,60,183,1,1,0,1
1271428328,54,1,0,2,2,4550000,89,171,0,0,0,1
1875379466,23,0,2,3,2,2561000,58,173,0,0,1,1
1588662688,35,0,0,4,3,3401000,78,163,1,0,0,1
1429542830,33,0,0,4,2,1770000,69,182,1,1,0,1
1591452444,42,0,2,1,4,3457000,71,180,1,0,1,1
1143154021,52,0,3,4,2,4159000,91,171,1,1,1,0
1576618999,57,0,1,4,3,1872000,85,176,0,0,1,0
1471302153,25,0,1,2,2,3198000,66,170,1,1,1,1
1794879597,32,0,2,1,3,4053000,97,181,1,1,1,0
1817307659,53,0,1,1,3,2245000,66,165,1,1,0,1
1425034520,44,0,1,2,4,5010000,76,178,0,1,0,0
1957797925,49,0,3,1,4,4877000,64,183,1,0,1,0
1860803875,41,1,3,1,3,2448000,71,171,0,0,1,1
1595097180,33,0,1,4,4,2035000,96,170,1,0,1,1
1582236650,29,0,0,2,4,5138000,65,169,1,0,1,0
1640996603,53,1,0,1,2,3127000,79,165,0,1,1,0
1952129099,40,1,3,2,4,5527000,84,173,1,0,1,1
1015693396,46,0,3,3,2,4149000,69,166,1,0,0,0
1042831566,29,1,2,2,3,5059000,84,179,0,1,0,0
1519191180,24,0,2,1,2,4552000,88,164,0,0,1,1
1727956767,32,0,3,3,4,4735000,83,174,1,0,1,1
1930975107,30,0,3,1,4,4541000,58,167,1,0,0,0
1130440229,52,1,3,2,4,4768000,78,182,0,1,1,1
1821944617,33,0,0,2,2,2944000,78,180,1,1,0,0
1629700315,29,1,0,2,3,5150000,62,172,1,0,1,1
1060262767,56,1,1,1,3,3351000,87,174,1,0,1,1
1054824195,23,0,2,3,3,3470000,69,171,1,0,1,0
1713358642,41,0,1,4,2,2099000,75,182,0,0,0,1
1685695256,54,0,1,4,3,5151000,96,179,1,1,0,1
1819708738,46,0,1,2,2,4353000,98,175,1,1,1,0
1633794588,34,0,2,3,3,5368000,86,178,0,0,1,0
1545653962,25,1,1,4,2,2843000,79,161,0,1,0,0
1257924428,28,1,2,3,3,1735000,72,163,1,1,0,1
